ITEM,PARAMETER,TANGGAL,NILAI
STORAGE 03,DIRTY,5,0.00031
STORAGE 03,LEVEL ,5,
STORAGE 03,SUHU,5,
STORAGE 03,STOCK,5,100984.0
BUNKER NO.1,MOIST ,5,0.07604
BUNKER NO.1,DIRTY,5,0.055810000000000005
BUNKER NO.1,STOCK (KG),5,13433.0
BUNKER NO.2,MOIST ,5,0.0639
BUNKER NO.2,DIRTY,5,0.0547
BUNKER NO.2,STOCK (KG),5,29885.0
CANGKANG,PRODUKSI (KG),5,46978.0
CANGKANG,PEMAKAIAN (KG),5,44629.0
CANGKANG,STOCK (KG),5,171524.45771001268
JANGKOS,PRODUKSI ,5,86518.0
JANGKOS,STOCK (KG),5,59205.0
JANGKOS,,5,
STORAGE 01,FFA,6,0.0439
STORAGE 01,MOIST ,6,0.0035
STORAGE 01,DIRTY,6,0.00032
STORAGE 01,LEVEL ,6,
STORAGE 01,SUHU,6,
STORAGE 01,STOCK (KG),6,294772.0
STORAGE 02,FFA,6,0.1545
STORAGE 02,MOIST ,6,0.1976
STORAGE 02,DIRTY,6,0.127
STORAGE 02,LEVEL ,6,
STORAGE 02,SUHU,6,
STORAGE 02,STOCK,6,67368.0
STORAGE 03,FFA,6,0.0458
STORAGE 03,MOIST ,6,0.0027
STORAGE 03,DIRTY,6,0.0003
STORAGE 03,LEVEL ,6,
STORAGE 03,SUHU,6,
STORAGE 03,STOCK,6,262992.0
BUNKER NO.1,MOIST ,6,0.07604
BUNKER NO.1,DIRTY,6,0.055810000000000005
BUNKER NO.1,STOCK (KG),6,13433.0
BUNKER NO.2,MOIST ,6,0.0563
BUNKER NO.2,DIRTY,6,0.0528
BUNKER NO.2,STOCK (KG),6,32917.0
CANGKANG,PRODUKSI (KG),6,41081.0
CANGKANG,PEMAKAIAN (KG),6,39027.0
CANGKANG,STOCK (KG),6,161348.45771001268
JANGKOS,PRODUKSI ,6,75657.0
JANGKOS,STOCK (KG),6,77842.0
JANGKOS,,6,
STORAGE 01,FFA,7,0.0424
STORAGE 01,MOIST ,7,0.0023
STORAGE 01,DIRTY,7,0.00035
STORAGE 01,LEVEL ,7,
STORAGE 01,SUHU,7,
STORAGE 01,STOCK (KG),7,277217.0
STORAGE 02,FFA,7,0.1545
STORAGE 02,MOIST ,7,0.1976
STORAGE 02,DIRTY,7,0.127
STORAGE 02,LEVEL ,7,
STORAGE 02,SUHU,7,
STORAGE 02,STOCK,7,67368.0
STORAGE 03,FFA,7,0.0477
STORAGE 03,MOIST ,7,0.0022
STORAGE 03,DIRTY,7,0.00036
STORAGE 03,LEVEL ,7,
STORAGE 03,SUHU,7,
STORAGE 03,STOCK,7,262992.0
BUNKER NO.1,MOIST ,7,0.07604
BUNKER NO.1,DIRTY,7,0.055810000000000005
BUNKER NO.1,STOCK (KG),7,13433.0
BUNKER NO.2,MOIST ,7,0.05
BUNKER NO.2,DIRTY,7,0.0476
BUNKER NO.2,STOCK (KG),7,28662.0
CANGKANG,PRODUKSI (KG),7,42075.0
CANGKANG,PEMAKAIAN (KG),7,39971.0
CANGKANG,STOCK (KG),7,163452.45771001268
JANGKOS,PRODUKSI ,7,77487.0
JANGKOS,STOCK (KG),7,144959.0
JANGKOS,,7,
STORAGE 01,FFA,8,0.0424
STORAGE 01,MOIST ,8,0.0023
STORAGE 01,DIRTY,8,0.00035
STORAGE 01,LEVEL ,8,
STORAGE 01,SUHU,8,
STORAGE 01,STOCK (KG),8,277217.0
STORAGE 02,FFA,8,0.1545
STORAGE 02,MOIST ,8,0.1976
STORAGE 02,DIRTY,8,0.127
STORAGE 02,LEVEL ,8,
STORAGE 02,SUHU,8,
STORAGE 02,STOCK,8,67368.0
STORAGE 03,FFA,8,0.0477
STORAGE 03,MOIST ,8,0.0022
STORAGE 03,DIRTY,8,0.00036
STORAGE 03,LEVEL ,8,
STORAGE 03,SUHU,8,
STORAGE 03,STOCK,8,262992.0
BUNKER NO.1,MOIST ,8,0.07604
BUNKER NO.1,DIRTY,8,0.055810000000000005
BUNKER NO.1,STOCK (KG),8,13433.0
BUNKER NO.2,MOIST ,8,0.05
BUNKER NO.2,DIRTY,8,0.0476
BUNKER NO.2,STOCK (KG),8,28662.0
CANGKANG,PRODUKSI (KG),8,0.0
CANGKANG,PEMAKAIAN (KG),8,39971.0
CANGKANG,STOCK (KG),8,163452.45771001268
JANGKOS,PRODUKSI ,8,0.0
JANGKOS,STOCK (KG),8,123139.0
JANGKOS,,8,
STORAGE 01,FFA,9,0.0424
STORAGE 01,MOIST ,9,0.0023
STORAGE 01,DIRTY,9,0.00035
STORAGE 01,LEVEL ,9,
STORAGE 01,SUHU,9,
STORAGE 01,STOCK (KG),9,120477.0
STORAGE 02,FFA,9,0.1545
STORAGE 02,MOIST ,9,0.1976
STORAGE 02,DIRTY,9,0.127
STORAGE 02,LEVEL ,9,
STORAGE 02,SUHU,9,
STORAGE 02,STOCK,9,67368.0
STORAGE 03,FFA,9,0.048
STORAGE 03,MOIST ,9,0.0021
STORAGE 03,DIRTY,9,0.00074
STORAGE 03,LEVEL ,9,
STORAGE 03,SUHU,9,
STORAGE 03,STOCK,9,254660.0
BUNKER NO.1,MOIST ,9,0.07604
BUNKER NO.1,DIRTY,9,0.055810000000000005
BUNKER NO.1,STOCK (KG),9,13433.0
BUNKER NO.2,MOIST ,9,0.0447
BUNKER NO.2,DIRTY,9,0.048
BUNKER NO.2,STOCK (KG),9,33837.0
CANGKANG,PRODUKSI (KG),9,57990.0
CANGKANG,PEMAKAIAN (KG),9,55091.0
CANGKANG,STOCK (KG),9,166351.45771001268
JANGKOS,PRODUKSI ,9,80099.0
JANGKOS,STOCK (KG),9,178808.0
JANGKOS,,9,
STORAGE 01,FFA,10,0.0424
STORAGE 01,MOIST ,10,0.0023
STORAGE 01,DIRTY,10,0.00035
STORAGE 01,LEVEL ,10,
STORAGE 01,SUHU,10,
STORAGE 01,STOCK (KG),10,105317.0
STORAGE 02,FFA,10,0.1545
STORAGE 02,MOIST ,10,0.1976
STORAGE 02,DIRTY,10,0.127
STORAGE 02,LEVEL ,10,
STORAGE 02,SUHU,10,
STORAGE 02,STOCK,10,53368.0
STORAGE 03,FFA,10,0.0439
STORAGE 03,MOIST ,10,0.0019
STORAGE 03,DIRTY,10,0.00074
STORAGE 03,LEVEL ,10,
STORAGE 03,SUHU,10,
STORAGE 03,STOCK,10,225271.0
BUNKER NO.1,MOIST ,10,0.07604
BUNKER NO.1,DIRTY,10,0.055810000000000005
BUNKER NO.1,STOCK (KG),10,13433.0
BUNKER NO.2,MOIST ,10,0.0595
BUNKER NO.2,DIRTY,10,0.0517
BUNKER NO.2,STOCK (KG),10,36452.0
CANGKANG,PRODUKSI (KG),10,56612.0
CANGKANG,PEMAKAIAN (KG),10,53781.0
CANGKANG,STOCK (KG),10,169182.45771001268
JANGKOS,PRODUKSI ,10,128321.0
JANGKOS,STOCK (KG),10,186029.0
JANGKOS,,10,
