ITEM,PARAMETER,TANGGAL,NILAI
STORAGE 01,LEVEL ,24,
STORAGE 01,SUHU,24,
STORAGE 01,STOCK (KG),24,
STORAGE 02,FFA,24,
STORAGE 02,MOIST ,24,
STORAGE 02,DIRTY,24,
STORAGE 02,LEVEL ,24,
STORAGE 02,SUHU,24,
STORAGE 02,STOCK,24,
STORAGE 03,FFA,24,
STORAGE 03,MOIST ,24,
STORAGE 03,DIRTY,24,
STORAGE 03,LEVEL ,24,
STORAGE 03,SUHU,24,
STORAGE 03,STOCK,24,
BUNKER NO.1,MOIST ,24,
BUNKER NO.1,DIRTY,24,
BUNKER NO.1,STOCK (KG),24,
BUNKER NO.2,MOIST ,24,
BUNKER NO.2,DIRTY,24,
BUNKER NO.2,STOCK (KG),24,
CANGKANG,PRODUKSI (KG),24,
CANGKANG,PEMAKAIAN (KG),24,
CANGKANG,STOCK (KG),24,
JANGKOS,PRODUKSI ,24,
JANGKOS,STOCK (KG),24,
JANGKOS,,24,
STORAGE 01,FFA,25,
STORAGE 01,MOIST ,25,
STORAGE 01,DIRTY,25,
STORAGE 01,LEVEL ,25,
STORAGE 01,SUHU,25,
STORAGE 01,STOCK (KG),25,
STORAGE 02,FFA,25,
STORAGE 02,MOIST ,25,
STORAGE 02,DIRTY,25,
STORAGE 02,LEVEL ,25,
STORAGE 02,SUHU,25,
STORAGE 02,STOCK,25,
STORAGE 03,FFA,25,
STORAGE 03,MOIST ,25,
STORAGE 03,DIRTY,25,
STORAGE 03,LEVEL ,25,
STORAGE 03,SUHU,25,
STORAGE 03,STOCK,25,
BUNKER NO.1,MOIST ,25,
BUNKER NO.1,DIRTY,25,
BUNKER NO.1,STOCK (KG),25,
BUNKER NO.2,MOIST ,25,
BUNKER NO.2,DIRTY,25,
BUNKER NO.2,STOCK (KG),25,
CANGKANG,PRODUKSI (KG),25,
CANGKANG,PEMAKAIAN (KG),25,
CANGKANG,STOCK (KG),25,
JANGKOS,PRODUKSI ,25,
JANGKOS,STOCK (KG),25,
JANGKOS,,25,
STORAGE 01,FFA,26,
STORAGE 01,MOIST ,26,
STORAGE 01,DIRTY,26,
STORAGE 01,LEVEL ,26,
STORAGE 01,SUHU,26,
STORAGE 01,STOCK (KG),26,
STORAGE 02,FFA,26,
STORAGE 02,MOIST ,26,
STORAGE 02,DIRTY,26,
STORAGE 02,LEVEL ,26,
STORAGE 02,SUHU,26,
STORAGE 02,STOCK,26,
STORAGE 03,FFA,26,
STORAGE 03,MOIST ,26,
STORAGE 03,DIRTY,26,
STORAGE 03,LEVEL ,26,
STORAGE 03,SUHU,26,
STORAGE 03,STOCK,26,
BUNKER NO.1,MOIST ,26,
BUNKER NO.1,DIRTY,26,
BUNKER NO.1,STOCK (KG),26,
BUNKER NO.2,MOIST ,26,
BUNKER NO.2,DIRTY,26,
BUNKER NO.2,STOCK (KG),26,
CANGKANG,PRODUKSI (KG),26,
CANGKANG,PEMAKAIAN (KG),26,
CANGKANG,STOCK (KG),26,
JANGKOS,PRODUKSI ,26,
JANGKOS,STOCK (KG),26,
JANGKOS,,26,
STORAGE 01,FFA,27,
STORAGE 01,MOIST ,27,
STORAGE 01,DIRTY,27,
STORAGE 01,LEVEL ,27,
STORAGE 01,SUHU,27,
STORAGE 01,STOCK (KG),27,
STORAGE 02,FFA,27,
STORAGE 02,MOIST ,27,
STORAGE 02,DIRTY,27,
STORAGE 02,LEVEL ,27,
STORAGE 02,SUHU,27,
STORAGE 02,STOCK,27,
STORAGE 03,FFA,27,
STORAGE 03,MOIST ,27,
STORAGE 03,DIRTY,27,
STORAGE 03,LEVEL ,27,
STORAGE 03,SUHU,27,
STORAGE 03,STOCK,27,
BUNKER NO.1,MOIST ,27,
BUNKER NO.1,DIRTY,27,
BUNKER NO.1,STOCK (KG),27,
BUNKER NO.2,MOIST ,27,
BUNKER NO.2,DIRTY,27,
BUNKER NO.2,STOCK (KG),27,
CANGKANG,PRODUKSI (KG),27,
CANGKANG,PEMAKAIAN (KG),27,
CANGKANG,STOCK (KG),27,
JANGKOS,PRODUKSI ,27,
JANGKOS,STOCK (KG),27,
JANGKOS,,27,
STORAGE 01,FFA,28,
STORAGE 01,MOIST ,28,
STORAGE 01,DIRTY,28,
STORAGE 01,LEVEL ,28,
STORAGE 01,SUHU,28,
STORAGE 01,STOCK (KG),28,
STORAGE 02,FFA,28,
STORAGE 02,MOIST ,28,
STORAGE 02,DIRTY,28,
STORAGE 02,LEVEL ,28,
STORAGE 02,SUHU,28,
STORAGE 02,STOCK,28,
STORAGE 03,FFA,28,
STORAGE 03,MOIST ,28,
STORAGE 03,DIRTY,28,
STORAGE 03,LEVEL ,28,
STORAGE 03,SUHU,28,
STORAGE 03,STOCK,28,
BUNKER NO.1,MOIST ,28,
BUNKER NO.1,DIRTY,28,
BUNKER NO.1,STOCK (KG),28,
BUNKER NO.2,MOIST ,28,
BUNKER NO.2,DIRTY,28,
BUNKER NO.2,STOCK (KG),28,
CANGKANG,PRODUKSI (KG),28,
CANGKANG,PEMAKAIAN (KG),28,
CANGKANG,STOCK (KG),28,
JANGKOS,PRODUKSI ,28,
JANGKOS,STOCK (KG),28,
JANGKOS,,28,
STORAGE 01,FFA,29,
STORAGE 01,MOIST ,29,
STORAGE 01,DIRTY,29,
STORAGE 01,LEVEL ,29,
STORAGE 01,SUHU,29,
STORAGE 01,STOCK (KG),29,
STORAGE 02,FFA,29,
STORAGE 02,MOIST ,29,
STORAGE 02,DIRTY,29,
STORAGE 02,LEVEL ,29,
STORAGE 02,SUHU,29,
STORAGE 02,STOCK,29,
STORAGE 03,FFA,29,
STORAGE 03,MOIST ,29,
STORAGE 03,DIRTY,29,
STORAGE 03,LEVEL ,29,
STORAGE 03,SUHU,29,
STORAGE 03,STOCK,29,
BUNKER NO.1,MOIST ,29,
BUNKER NO.1,DIRTY,29,
BUNKER NO.1,STOCK (KG),29,
BUNKER NO.2,MOIST ,29,
BUNKER NO.2,DIRTY,29,
BUNKER NO.2,STOCK (KG),29,
CANGKANG,PRODUKSI (KG),29,
CANGKANG,PEMAKAIAN (KG),29,
CANGKANG,STOCK (KG),29,
JANGKOS,PRODUKSI ,29,
JANGKOS,STOCK (KG),29,
JANGKOS,,29,
STORAGE 01,FFA,30,
STORAGE 01,MOIST ,30,
STORAGE 01,DIRTY,30,
STORAGE 01,LEVEL ,30,
STORAGE 01,SUHU,30,
STORAGE 01,STOCK (KG),30,
STORAGE 02,FFA,30,
STORAGE 02,MOIST ,30,
STORAGE 02,DIRTY,30,
STORAGE 02,LEVEL ,30,
STORAGE 02,SUHU,30,
STORAGE 02,STOCK,30,
STORAGE 03,FFA,30,
STORAGE 03,MOIST ,30,
STORAGE 03,DIRTY,30,
STORAGE 03,LEVEL ,30,
STORAGE 03,SUHU,30,
STORAGE 03,STOCK,30,
BUNKER NO.1,MOIST ,30,
BUNKER NO.1,DIRTY,30,
BUNKER NO.1,STOCK (KG),30,
BUNKER NO.2,MOIST ,30,
BUNKER NO.2,DIRTY,30,
BUNKER NO.2,STOCK (KG),30,
CANGKANG,PRODUKSI (KG),30,
CANGKANG,PEMAKAIAN (KG),30,
CANGKANG,STOCK (KG),30,
JANGKOS,PRODUKSI ,30,
JANGKOS,STOCK (KG),30,
JANGKOS,,30,
STORAGE 01,FFA,31,
STORAGE 01,MOIST ,31,
STORAGE 01,DIRTY,31,
STORAGE 01,LEVEL ,31,
STORAGE 01,SUHU,31,
STORAGE 01,STOCK (KG),31,
STORAGE 02,FFA,31,
STORAGE 02,MOIST ,31,
STORAGE 02,DIRTY,31,
STORAGE 02,LEVEL ,31,
STORAGE 02,SUHU,31,
STORAGE 02,STOCK,31,
STORAGE 03,FFA,31,
STORAGE 03,MOIST ,31,
STORAGE 03,DIRTY,31,
STORAGE 03,LEVEL ,31,
STORAGE 03,SUHU,31,
STORAGE 03,STOCK,31,
BUNKER NO.1,MOIST ,31,
BUNKER NO.1,DIRTY,31,
BUNKER NO.1,STOCK (KG),31,
BUNKER NO.2,MOIST ,31,
BUNKER NO.2,DIRTY,31,
BUNKER NO.2,STOCK (KG),31,
CANGKANG,PRODUKSI (KG),31,
CANGKANG,PEMAKAIAN (KG),31,
CANGKANG,STOCK (KG),31,
JANGKOS,PRODUKSI ,31,
JANGKOS,STOCK (KG),31,
JANGKOS,,31,
STORAGE 01,FFA,Unnamed: 33,
STORAGE 01,MOIST ,Unnamed: 33,
STORAGE 01,DIRTY,Unnamed: 33,
STORAGE 01,LEVEL ,Unnamed: 33,
STORAGE 01,SUHU,Unnamed: 33,
STORAGE 01,STOCK (KG),Unnamed: 33,
STORAGE 02,FFA,Unnamed: 33,
STORAGE 02,MOIST ,Unnamed: 33,
STORAGE 02,DIRTY,Unnamed: 33,
STORAGE 02,LEVEL ,Unnamed: 33,
STORAGE 02,SUHU,Unnamed: 33,
STORAGE 02,STOCK,Unnamed: 33,
STORAGE 03,FFA,Unnamed: 33,
STORAGE 03,MOIST ,Unnamed: 33,
STORAGE 03,DIRTY,Unnamed: 33,
STORAGE 03,LEVEL ,Unnamed: 33,
STORAGE 03,SUHU,Unnamed: 33,
STORAGE 03,STOCK,Unnamed: 33,
BUNKER NO.1,MOIST ,Unnamed: 33,
BUNKER NO.1,DIRTY,Unnamed: 33,
BUNKER NO.1,STOCK (KG),Unnamed: 33,
BUNKER NO.2,MOIST ,Unnamed: 33,
BUNKER NO.2,DIRTY,Unnamed: 33,
BUNKER NO.2,STOCK (KG),Unnamed: 33,
CANGKANG,PRODUKSI (KG),Unnamed: 33,
CANGKANG,PEMAKAIAN (KG),Unnamed: 33,
CANGKANG,STOCK (KG),Unnamed: 33,
JANGKOS,PRODUKSI ,Unnamed: 33,
JANGKOS,STOCK (KG),Unnamed: 33,
JANGKOS,,Unnamed: 33,
STORAGE 01,FFA,Unnamed: 34,
STORAGE 01,MOIST ,Unnamed: 34,
STORAGE 01,DIRTY,Unnamed: 34,
STORAGE 01,LEVEL ,Unnamed: 34,
STORAGE 01,SUHU,Unnamed: 34,
STORAGE 01,STOCK (KG),Unnamed: 34,53.5
STORAGE 02,FFA,Unnamed: 34,
STORAGE 02,MOIST ,Unnamed: 34,
STORAGE 02,DIRTY,Unnamed: 34,
STORAGE 02,LEVEL ,Unnamed: 34,
STORAGE 02,SUHU,Unnamed: 34,
STORAGE 02,STOCK,Unnamed: 34,
STORAGE 03,FFA,Unnamed: 34,
STORAGE 03,MOIST ,Unnamed: 34,
STORAGE 03,DIRTY,Unnamed: 34,
STORAGE 03,LEVEL ,Unnamed: 34,
STORAGE 03,SUHU,Unnamed: 34,
STORAGE 03,STOCK,Unnamed: 34,
BUNKER NO.1,MOIST ,Unnamed: 34,
BUNKER NO.1,DIRTY,Unnamed: 34,
BUNKER NO.1,STOCK (KG),Unnamed: 34,
BUNKER NO.2,MOIST ,Unnamed: 34,
BUNKER NO.2,DIRTY,Unnamed: 34,
BUNKER NO.2,STOCK (KG),Unnamed: 34,
CANGKANG,PRODUKSI (KG),Unnamed: 34,
CANGKANG,PEMAKAIAN (KG),Unnamed: 34,
CANGKANG,STOCK (KG),Unnamed: 34,
JANGKOS,PRODUKSI ,Unnamed: 34,
JANGKOS,STOCK (KG),Unnamed: 34,
JANGKOS,,Unnamed: 34,
